title,season,episode_number,air_date,month,year,colors,subjects,image_link,youtube_link,notes
A Walk in the Woods,1,1,1983-01-11,January,1983,"Alizarin Crimson, Bright Red, Cadmium Yellow, Phthalo Green, Prussian Blue, Sap Green, Titanium White, Van Dyke Brown","BUSHES, DECIDUOUS, GRASS, RIVER, TREE, TREES",https://www.twoinchbrush.com/images/painting282.png,https://www.youtube.com/embed/oh5p5f5_-7A,
Mount McKinley,1,2,1983-01-11,January,1983,"Alizarin Crimson, Bright Red, Cadmium Yellow, Phthalo Green, Prussian Blue, Sap Green, Titanium White, Van Dyke Brown","CABIN, CLOUDS, CONIFER, MOUNTAIN, SNOW, SNOWY_MOUNTAIN, TREE, TREES, WINTER",https://www.twoinchbrush.com/images/painting283.png,https://www.youtube.com/embed/RInDWhYceLU,
Ebony Sunset,1,3,1983-01-18,January,1983,"Alizarin Crimson, Black Gesso, Bright Red, Cadmium Yellow, Phthalo Green, Prussian Blue, Sap Green, Titanium White, Van Dyke Brown","CABIN, CONIFER, FENCE, MOUNTAIN, MOUNTAINS, STRUCTURE, SUN, TREE, TREES, WINTER",https://www.twoinchbrush.com/images/painting284.png,https://www.youtube.com/embed/UOziR7PoVco,
Winter Mist,1,4,1983-01-25,January,1983,"Prussian Blue, Titanium White, Van Dyke Brown","BUSHES, CLOUDS, CONIFER, LAKE, MOUNTAIN, SNOWY_MOUNTAIN, TREE, TREES",https://www.twoinchbrush.com/images/painting285.png,https://www.youtube.com/embed/0pwoixRikn4,
Quiet Stream,1,5,1983-02-01,February,1983,"Alizarin Crimson, Bright Red, Cadmium Yellow, Phthalo Green, Prussian Blue, Sap Green, Titanium White, Van Dyke Brown","DECIDUOUS, RIVER, ROCKS, TREE, TREES",https://www.twoinchbrush.com/images/painting286.png,https://www.youtube.com/embed/DFSIQNjKRfk,
Winter Moon,1,6,1983-02-08,February,1983,"Black Gesso, Prussian Blue, Titanium White, Van Dyke Brown","CABIN, CONIFER, LAKE, MOON, MOUNTAIN, MOUNTAINS, NIGHT, SNOW, SNOWY_MOUNTAIN, STRUCTURE, TREE, TREES, WINTER",https://www.twoinchbrush.com/images/painting287.png,https://www.youtube.com/embed/loAzRUzx1wI,
Autumn Mountains,1,7,1983-02-15,February,1983,"Alizarin Crimson, Bright Red, Cadmium Yellow, Phthalo Green, Prussian Blue, Sap Green, Titanium White, Van Dyke Brown","DECIDUOUS, LAKE, MOUNTAIN, MOUNTAINS, SNOWY_MOUNTAIN, TREE, TREES",https://www.twoinchbrush.com/images/painting288.png,https://www.youtube.com/embed/sDdpc8uisD0,
Peaceful Valley,1,8,1983-02-22,February,1983,"Alizarin Crimson, Bright Red, Cadmium Yellow, Phthalo Green, Prussian Blue, Sap Green, Titanium White, Van Dyke Brown","BUSHES, CONIFER, LAKE, MOUNTAIN, MOUNTAINS, TREE, TREES",https://www.twoinchbrush.com/images/painting289.png,https://www.youtube.com/embed/kQlFwTOkYzg,
Seascape,1,9,1983-03-01,March,1983,"Alizarin Crimson, Bright Red, Cadmium Yellow, Phthalo Green, Prussian Blue, Sap Green, Titanium White, Van Dyke Brown","BEACH, CLOUDS, FENCE, OCEAN",https://www.twoinchbrush.com/images/painting290.png,https://www.youtube.com/embed/QxcS7p1VHyQ,
Mountain Lake,1,10,1983-03-08,March,1983,"Alizarin Crimson, Bright Red, Cadmium Yellow, Phthalo Green, Prussian Blue, Sap Green, Titanium White, Van Dyke Brown","BUSHES, CONIFER, DECIDUOUS, LAKE, MOUNTAIN, TREE, TREES",https://www.twoinchbrush.com/images/painting291.png,https://www.youtube.com/embed/wDnLlywAL5I,
