title,season,episode_number,colors,color_ids,image_links,youtube_links,all_colors,subject_matter,air_dates,months,notes
"""A Walk in the Woods""",1,1,"['Alizarin Crimson', 'Bright Red', 'Cadmium Yellow', 'Phthalo Green\r\n', 'Prussian Blue', 'Sap Green', 'Titanium White', 'Van Dyke Brown']",Bright_Red; Cadmium_Yellow; Phthalo_Green; Prussian_Blue; Sap_Green; Titanium_White; Van_Dyke_Brown; Alizarin_Crimson,https://www.twoinchbrush.com/images/painting282.png,https://www.youtube.com/embed/oh5p5f5_-7A,Black_Gesso; Bright_Red; Burnt_Umber; Cadmium_Yellow; Dark_Sienna; Indian_Red; Indian_Yellow; Liquid_Black; Liquid_Clear; Midnight_Black; Phthalo_Blue; Phthalo_Green; Prussian_Blue; Sap_Green; Titanium_White; Van_Dyke_Brown; Yellow_Ochre; Alizarin_Crimson,BUSHES; DECIDUOUS; GRASS; RIVER; TREE; TREES,"January 11, 1983",January,
"""Mount McKinley""",1,2,"['Alizarin Crimson', 'Bright Red', 'Cadmium Yellow', 'Phthalo Green\r\n', 'Prussian Blue', 'Sap Green', 'Titanium White', 'Van Dyke Brown']",Bright_Red; Cadmium_Yellow; Phthalo_Green; Prussian_Blue; Sap_Green; Titanium_White; Van_Dyke_Brown; Alizarin_Crimson,https://www.twoinchbrush.com/images/painting283.png,https://www.youtube.com/embed/RInDWhYceLU,Black_Gesso; Bright_Red; Burnt_Umber; Cadmium_Yellow; Dark_Sienna; Indian_Red; Indian_Yellow; Liquid_Black; Liquid_Clear; Midnight_Black; Phthalo_Blue; Phthalo_Green; Prussian_Blue; Sap_Green; Titanium_White; Van_Dyke_Brown; Yellow_Ochre; Alizarin_Crimson,CABIN; CLOUDS; CONIFER; MOUNTAIN; SNOW; SNOWY_MOUNTAIN; TREE; TREES; WINTER,"January 11, 1983",January,
"""Ebony Sunset""",1,3,"['Alizarin Crimson', 'Black Gesso', 'Bright Red', 'Cadmium Yellow', 'Phthalo Green\r\n', 'Prussian Blue', 'Sap Green', 'Titanium White', 'Van Dyke Brown']",Black_Gesso; Bright_Red; Cadmium_Yellow; Phthalo_Green; Prussian_Blue; Sap_Green; Titanium_White; Van_Dyke_Brown; Alizarin_Crimson,https://www.twoinchbrush.com/images/painting284.png,https://www.youtube.com/embed/UOziR7PoVco,Black_Gesso; Bright_Red; Burnt_Umber; Cadmium_Yellow; Dark_Sienna; Indian_Red; Indian_Yellow; Liquid_Black; Liquid_Clear; Midnight_Black; Phthalo_Blue; Phthalo_Green; Prussian_Blue; Sap_Green; Titanium_White; Van_Dyke_Brown; Yellow_Ochre; Alizarin_Crimson,CABIN; CONIFER; FENCE; MOUNTAIN; MOUNTAINS; STRUCTURE; SUN; TREE; TREES; WINTER,"January 18, 1983",January,
"""Winter Mist""",1,4,"['Prussian Blue', 'Titanium White', 'Van Dyke Brown']",Prussian_Blue; Titanium_White; Van_Dyke_Brown,https://www.twoinchbrush.com/images/painting285.png,https://www.youtube.com/embed/0pwoixRikn4,Black_Gesso; Bright_Red; Burnt_Umber; Cadmium_Yellow; Dark_Sienna; Indian_Red; Indian_Yellow; Liquid_Black; Liquid_Clear; Midnight_Black; Phthalo_Blue; Phthalo_Green; Prussian_Blue; Sap_Green; Titanium_White; Van_Dyke_Brown; Yellow_Ochre; Alizarin_Crimson,BUSHES; CLOUDS; CONIFER; LAKE; MOUNTAIN; SNOWY_MOUNTAIN; TREE; TREES,"January 25, 1983",January,
"""Quiet Stream""",1,5,"['Alizarin Crimson', 'Bright Red', 'Cadmium Yellow', 'Phthalo Green\r\n', 'Prussian Blue', 'Sap Green', 'Titanium White', 'Van Dyke Brown']",Bright_Red; Cadmium_Yellow; Phthalo_Green; Prussian_Blue; Sap_Green; Titanium_White; Van_Dyke_Brown; Alizarin_Crimson,https://www.twoinchbrush.com/images/painting286.png,https://www.youtube.com/embed/DFSIQNjKRfk,Black_Gesso; Bright_Red; Burnt_Umber; Cadmium_Yellow; Dark_Sienna; Indian_Red; Indian_Yellow; Liquid_Black; Liquid_Clear; Midnight_Black; Phthalo_Blue; Phthalo_Green; Prussian_Blue; Sap_Green; Titanium_White; Van_Dyke_Brown; Yellow_Ochre; Alizarin_Crimson,DECIDUOUS; RIVER; ROCKS; TREE; TREES,"February 1, 1983",February,
"""Winter Moon""",1,6,"['Black Gesso', 'Prussian Blue', 'Titanium White', 'Van Dyke Brown']",Black_Gesso; Prussian_Blue; Titanium_White; Van_Dyke_Brown,https://www.twoinchbrush.com/images/painting287.png,https://www.youtube.com/embed/loAzRUzx1wI,Black_Gesso; Bright_Red; Burnt_Umber; Cadmium_Yellow; Dark_Sienna; Indian_Red; Indian_Yellow; Liquid_Black; Liquid_Clear; Midnight_Black; Phthalo_Blue; Phthalo_Green; Prussian_Blue; Sap_Green; Titanium_White; Van_Dyke_Brown; Yellow_Ochre; Alizarin_Crimson,CABIN; CONIFER; LAKE; MOON; MOUNTAIN; MOUNTAINS; NIGHT; SNOW; SNOWY_MOUNTAIN; STRUCTURE; TREE; TREES; WINTER,"February 8, 1983",February,
"""Autumn Mountains""",1,7,"['Alizarin Crimson', 'Bright Red', 'Cadmium Yellow', 'Phthalo Green\r\n', 'Prussian Blue', 'Sap Green', 'Titanium White', 'Van Dyke Brown']",Bright_Red; Cadmium_Yellow; Phthalo_Green; Prussian_Blue; Sap_Green; Titanium_White; Van_Dyke_Brown; Alizarin_Crimson,https://www.twoinchbrush.com/images/painting288.png,https://www.youtube.com/embed/sDdpc8uisD0,Black_Gesso; Bright_Red; Burnt_Umber; Cadmium_Yellow; Dark_Sienna; Indian_Red; Indian_Yellow; Liquid_Black; Liquid_Clear; Midnight_Black; Phthalo_Blue; Phthalo_Green; Prussian_Blue; Sap_Green; Titanium_White; Van_Dyke_Brown; Yellow_Ochre; Alizarin_Crimson,DECIDUOUS; LAKE; MOUNTAIN; MOUNTAINS; SNOWY_MOUNTAIN; TREE; TREES,"February 15, 1983",February,
"""Peaceful Valley""",1,8,"['Alizarin Crimson', 'Bright Red', 'Cadmium Yellow', 'Phthalo Green\r\n', 'Prussian Blue', 'Sap Green', 'Titanium White', 'Van Dyke Brown']",Bright_Red; Cadmium_Yellow; Phthalo_Green; Prussian_Blue; Sap_Green; Titanium_White; Van_Dyke_Brown; Alizarin_Crimson,https://www.twoinchbrush.com/images/painting289.png,https://www.youtube.com/embed/kQlFwTOkYzg,Black_Gesso; Bright_Red; Burnt_Umber; Cadmium_Yellow; Dark_Sienna; Indian_Red; Indian_Yellow; Liquid_Black; Liquid_Clear; Midnight_Black; Phthalo_Blue; Phthalo_Green; Prussian_Blue; Sap_Green; Titanium_White; Van_Dyke_Brown; Yellow_Ochre; Alizarin_Crimson,BUSHES; CONIFER; LAKE; MOUNTAIN; MOUNTAINS; TREE; TREES,"February 22, 1983",February,
"""Seascape""",1,9,"['Alizarin Crimson', 'Bright Red', 'Cadmium Yellow', 'Phthalo Green\r\n', 'Prussian Blue', 'Sap Green', 'Titanium White', 'Van Dyke Brown']",Bright_Red; Cadmium_Yellow; Phthalo_Green; Prussian_Blue; Sap_Green; Titanium_White; Van_Dyke_Brown; Alizarin_Crimson,https://www.twoinchbrush.com/images/painting290.png,https://www.youtube.com/embed/QxcS7p1VHyQ,Black_Gesso; Bright_Red; Burnt_Umber; Cadmium_Yellow; Dark_Sienna; Indian_Red; Indian_Yellow; Liquid_Black; Liquid_Clear; Midnight_Black; Phthalo_Blue; Phthalo_Green; Prussian_Blue; Sap_Green; Titanium_White; Van_Dyke_Brown; Yellow_Ochre; Alizarin_Crimson,BEACH; CLOUDS; FENCE; OCEAN,"March 1, 1983",March,
"""Mountain Lake""",1,10,"['Alizarin Crimson', 'Bright Red', 'Cadmium Yellow', 'Phthalo Green\r\n', 'Prussian Blue', 'Sap Green', 'Titanium White', 'Van Dyke Brown']",Bright_Red; Cadmium_Yellow; Phthalo_Green; Prussian_Blue; Sap_Green; Titanium_White; Van_Dyke_Brown; Alizarin_Crimson,https://www.twoinchbrush.com/images/painting291.png,https://www.youtube.com/embed/wDnLlywAL5I,Black_Gesso; Bright_Red; Burnt_Umber; Cadmium_Yellow; Dark_Sienna; Indian_Red; Indian_Yellow; Liquid_Black; Liquid_Clear; Midnight_Black; Phthalo_Blue; Phthalo_Green; Prussian_Blue; Sap_Green; Titanium_White; Van_Dyke_Brown; Yellow_Ochre; Alizarin_Crimson,BUSHES; CONIFER; DECIDUOUS; LAKE; MOUNTAIN; TREE; TREES,"March 8, 1983",March,
"""Winter Glow""",1,11,"['Alizarin Crimson', 'Bright Red', 'Cadmium Yellow', 'Phthalo Green\r\n', 'Prussian Blue', 'Sap Green', 'Titanium White', 'Van Dyke Brown']",Bright_Red; Cadmium_Yellow; Phthalo_Green; Prussian_Blue; Sap_Green; Titanium_White; Van_Dyke_Brown; Alizarin_Crimson,https://www.twoinchbrush.com/images/painting292.png,https://www.youtube.com/embed/Q03YvknOVe0,Black_Gesso; Bright_Red; Burnt_Umber; Cadmium_Yellow; Dark_Sienna; Indian_Red; Indian_Yellow; Liquid_Black; Liquid_Clear; Midnight_Black; Phthalo_Blue; Phthalo_Green; Prussian_Blue; Sap_Green; Titanium_White; Van_Dyke_Brown; Yellow_Ochre; Alizarin_Crimson,DECIDUOUS; LAKE; TREE; TREES,"March 15, 1983",March,
"""Snowfall""",1,12,"['Alizarin Crimson', 'Prussian Blue', 'Titanium White', 'Van Dyke Brown']",Prussian_Blue; Titanium_White; Van_Dyke_Brown; Alizarin_Crimson,https://www.twoinchbrush.com/images/painting293.png,https://www.youtube.com/embed/4E35-8x_y04,Black_Gesso; Bright_Red; Burnt_Umber; Cadmium_Yellow; Dark_Sienna; Indian_Red; Indian_Yellow; Liquid_Black; Liquid_Clear; Midnight_Black; Phthalo_Blue; Phthalo_Green; Prussian_Blue; Sap_Green; Titanium_White; Van_Dyke_Brown; Yellow_Ochre; Alizarin_Crimson,CIRRUS; CLOUDS; CONIFER; LAKE; MOUNTAIN; MOUNTAINS; SNOWY_MOUNTAIN; TREE; TREES,"March 22, 1983",March,
"""Final Reflections""",1,13,"['Alizarin Crimson', 'Bright Red', 'Cadmium Yellow', 'Phthalo Green\r\n', 'Prussian Blue', 'Sap Green', 'Titanium White', 'Van Dyke Brown']",Bright_Red; Cadmium_Yellow; Phthalo_Green; Prussian_Blue; Sap_Green; Titanium_White; Van_Dyke_Brown; Alizarin_Crimson,https://www.twoinchbrush.com/images/painting294.png,https://www.youtube.com/embed/IEQWfszfRlA,Black_Gesso; Bright_Red; Burnt_Umber; Cadmium_Yellow; Dark_Sienna; Indian_Red; Indian_Yellow; Liquid_Black; Liquid_Clear; Midnight_Black; Phthalo_Blue; Phthalo_Green; Prussian_Blue; Sap_Green; Titanium_White; Van_Dyke_Brown; Yellow_Ochre; Alizarin_Crimson,BUSHES; CONIFER; DECIDUOUS; GRASS; MOUNTAIN; SNOWY_MOUNTAIN; TREE; TREES,"March 29, 1983",March,
